co_carta_consulta,no_projeto,sg_projeto,sg_fonte,va_dolar,no_unidade_federal,co_sujeito,no_tecnico,no_setor,informacoes,fase,dt_assinatura,dt_ultimo_desembolso_vigente,no_abrangencia_nacional,aggregation,tipo_operacao,co_executor,no_executor
"58006","Reforma do Setor Saúde REC. CAP. ASSISTENCIAL SUS - REFORSUS","REFORSUS","BIRD","3.0E8","Distrito Federal","1051","Claudia Veiga da Silva","Saúde","","Finalizada","27/09/1996 00:00","31/12/2003 00:00","Federal","2272","Financiamento","456","Ministério da Saúde - MS"
"57816","Região Metropolitana de Salvador","RMSALVADOR","BIRD","5.5E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Urbanismo","","Finalizada","15/07/1986 00:00","30/09/1997 00:00","Federal","2272","Financiamento","328","Companhia de Desenvolvimento Urbano do Estado da Bahia - CONDER"
"58322","Regulação do Setor de Energia Elétrica","ENERGIA ELÉTRICA","BIRD","400000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Energia","","Arquivado","","","Federal","2272","Doação","373","Departamento Nacional de Águas e Energia Elétrica - DNAEE"
"58073","RIO DE JANEIRO HIGHW","RODOVIAS RJ","BIRD","3000000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Energia","","Finalizada","30/04/1953 00:00","30/06/1957 00:00","Federal","2272","Financiamento","71","Governo do Estado do Rio de Janeiro"
"57834","Rodovias Federais","RODOVIAS FEDERAIS","BIRD","3.1E8","Distrito Federal","1051","Antônio Sabino da Costa Filho","Transporte","","Finalizada","30/04/1991 00:00","31/12/1996 00:00","Federal","2272","Financiamento","0",""
"58287","RURAL DEVT - PARAIBA","DES. RURAL PB","BIRD","2.4E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Agricultura","","Finalizada","08/05/1978 00:00","30/09/1986 00:00","Federal","2272","Financiamento","0",""
"58242","Rural Devt V-Pernamb","DES. RURAL PE","BIRD","4.0E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Agricultura","","Finalizada","20/06/1979 00:00","31/12/1986 00:00","Federal","2272","Financiamento","404","Governo do Estado de Pernambuco"
"58055","RURAL WS & S PILOT","RURAL WS & S PILOT","BIRD","1.63E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Agricultura","","Finalizada","01/08/1985 00:00","31/12/1992 00:00","Federal","2272","Financiamento","25","Ministério do Desenvolvimento Agrário"
"58055","RURAL WS & S PILOT","RURAL WS & S PILOT","BIRD","1.63E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Agricultura","","Finalizada","01/08/1985 00:00","31/12/1992 00:00","Federal","2272","Financiamento","459","Ministério do Desenvolvimento Agrário"
"58239","São Frn II - Rural D","SÃO FRANCISCO II","BIRD","2.8E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Agricultura","","Finalizada","20/06/1979 00:00","30/06/1987 00:00","Federal","2272","Financiamento","0",""
"58209","São Frn II - Rural D","SÃO FRANCISCO II","BIRD","7700000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Agricultura","","Finalizada","14/12/1983 00:00","30/06/1988 00:00","Federal","2272","Financiamento","0",""
"58236","São Paulo Pollut CTL","CONTROLE POLUIÇÃO SP","BIRD","5.8E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Encargos Especiais","","Finalizada","06/01/1982 00:00","30/06/1986 00:00","Federal","2272","Financiamento","0",""
"57825","Saúde Básica no NE I","SAÚDE NE I","BIRD","5.95E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Saúde","","Finalizada","23/10/1986 00:00","31/12/1995 00:00","Federal","2272","Financiamento","0",""
"57826","Saúde Básica no NE II","SAÚDE NE II","BIRD","2.67E8","Distrito Federal","1051","Antônio Sabino da Costa Filho","Saúde","","Finalizada","26/09/1990 00:00","31/12/1997 00:00","Federal","2272","Financiamento","456","Ministério da Saúde - MS"
"58041","SECONDARY & FEEDER R","RODOV. VICINAIS I","BIRD","2.1425E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Transporte","","Finalizada","01/03/1976 00:00","20/11/1981 00:00","Federal","2272","Financiamento","0",""
"58040","SECONDARY & FEEDER R","RODOV. VICINAIS II","BIRD","3.3575E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Transporte","","Finalizada","24/08/1981 00:00","30/06/1984 00:00","Federal","2272","Financiamento","0",""
"58240","Secondary & Feeder Rds","RODOV. VICINAIS III","BIRD","2138000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Energia","","Finalizada","20/06/1979 00:00","20/11/1981 00:00","Federal","2272","Financiamento","0",""
"58241","Secondary & Feeder Rds","RODOV. VICINAIS V","BIRD","1.07862E8","Distrito Federal","1051","Antônio Sabino da Costa Filho","Energia","","Finalizada","24/08/1981 00:00","31/12/1986 00:00","Federal","2272","Financiamento","0",""
"59531","Segundo Empréstimo Programático para o Programa de Crescimento Sustentável e Eqüitativo -  PSAL 2 - Competitividade","PSAL 2","BIRD","1.5E8","Distrito Federal","1051","Patricia Matos Magalhaes Albuquerque","Encargos Especiais","(61) 2020-4830","Finalizada","03/12/2007 00:00","30/06/2008 00:00","Federal","2272","Financiamento","451","Ministério da Fazenda - MF"
"58603","Exploração da Biodiversidade, Recomposição e Manutenção da Biomassa Florestal","BIOMASSA FLORESTAL","GEF","700000.0","Distrito Federal","1051","Isis Smidt Lara Resende","Gestão Ambiental","(61) 2020-4832","Arquivado","","","Federal","2272","Doação","0",""
"58939","Segundo Programa de Ajuste para o Setor Financeiro","AJUSTE FINANCEIRO II","BIRD","4.0404E8","Distrito Federal","1051","Necy Yonamine","Encargos Especiais","(61) 2020-4811","Finalizada","23/07/2002 00:00","31/12/2002 00:00","Federal","2272","Financiamento","451","Ministério da Fazenda - MF"
"58625","Sistema de Transporte de Alta Capacidade em Curitiba","STAC EM CURITIBA","BIRD","1.748E8","Distrito Federal","1051","Antônio Sabino da Costa Filho","Transporte","","Arquivado","","","Federal","2272","Financiamento","457","Ministério das Cidades"
"58352","Sistema Nacional de Vigilância em Saúde - 1ª Fase","VIGISUS - 1ª FASE","BIRD","1.0E8","Distrito Federal","1051","Manuella Damasceno Louzada","Saúde","","Finalizada","11/12/1998 00:00","30/06/2004 00:00","Federal","2272","Financiamento","456","Ministério da Saúde - MS"
"58463","Sistema Nacional de Vigilância em Saúde - 2ª Fase","VIGISUS - 2ª FASE","BIRD","9.95E7","Distrito Federal","1051","Manuella Damasceno Louzada","Saúde","","Finalizada","03/11/2004 00:00","31/12/2009 00:00","Federal","2272","Financiamento","456","Ministério da Saúde - MS"
"58464","Sistema Nacional de Vigilância em Saúde - 3ª Fase","VIGISUS - 3ª FASE","BIRD","1.0E8","Distrito Federal","1051","Manuella Damasceno Louzada","Saúde","","Arquivado","","","Federal","2272","Financiamento","456","Ministério da Saúde - MS"
"58271","STEEL CSN","SIDERURGIA CSN","BIRD","6.45E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Gestão Ambiental","","Finalizada","08/02/1972 00:00","31/03/1978 00:00","Federal","2272","Financiamento","142","Ministério do Meio Ambiente - MMA"
"58776","Trem Metropolitano de Fortaleza - 2ª FASE","METROFOR - 2ª FASE","BIRD","1.34071408E8","Distrito Federal","1051","Humberto Leite Freitas Filho","Transporte","(61) 2020-4837","Finalizada","01/08/2002 00:00","30/09/2010 00:00","Federal","2272","Financiamento","457","Ministério das Cidades"
"58285","URBAN MASS TRANSPORT","TRANSP. URBANO II","BIRD","8.8E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Transporte","","Finalizada","22/05/1978 00:00","30/03/1984 00:00","Federal","2272","Financiamento","0",""
"58247","VALESUL ALUMINUM SME","VALESUL","BIRD","9.8E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Gestão Ambiental","","Finalizada","07/03/1979 00:00","31/01/1983 00:00","Federal","2272","Financiamento","0",""
"60076","Coordenação FIP","","BIRD/FIP","1000000.0","Distrito Federal","1051","Tânia Delfino Ribeiro","Gestão Ambiental","(61) 2020-4819","Em preparação","","","Federal","2272","Doação","142","Ministério do Meio Ambiente - MMA"
"42612","Regularização Ambiental de Imóveis Rurais no Cerrado - CAR/FIP","CAR-FIP","BIRD/FIP","3.248E7","Distrito Federal","1051","Tânia Delfino Ribeiro","Gestão Ambiental","(61) 2020-4819","Aguardando negociação","","","Federal","2272","Financiamento","142","Ministério do Meio Ambiente - MMA"
"58975","Plano Estrat. de Rec. Híd. da Bacia Hidrográfica dos Rios Araguaia-Tocantins","DOAÇÃO RIO ARAGUAIA","BID/INWAP","110000.0","Distrito Federal","292","Tânia Delfino Ribeiro","Gestão Ambiental","(61) 2020-4819","Arquivado","","","Federal","2272","Doação","292","Agência Nacional de Águas - ANA"
"59158","Southern Cone Region: Standards and Labelling Programme","SOUTHEM CONE - CSL","BIRD/USAID","30000.0","Distrito Federal","1051","Isis Smidt Lara Resende","Gestão Ambiental","(61) 2020-4832","Arquivado","","","Federal","2272","Doação","380","Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA"
"59026","Subprograma de Ciência e Tecnologia - SPC&T - Fase II - PPG7","SPC&T- Fase II","BIRD/USAID","5100000.0","Distrito Federal","1051","Tânia Delfino Ribeiro","Gestão Ambiental","(61) 2020-4819","Finalizada","05/08/2005 00:00","31/12/2008 00:00","Federal","2272","Doação","353","Conselho Nacional de Desenvolvimento Científico e Tecnológico - CNPQ"
"59293","Projeto de Conservação da Biodiversidade em Terra Privadas na América Latina","TERRAS PRIVADAS AMERICA L","BIRD/USAID","275000.0","Distrito Federal","813","Isis Smidt Lara Resende","Gestão Ambiental","(61) 2020-4832","Arquivado","","","Federal","2272","Doação","813","The Nature Conservancy"
"59298","Fortalecimento das Capacidades Operacionais de Organizações da Sociedade Civil","DOAÇÃO-CENTRO COOP. SUECO","CCSueco","0.0","Distrito Federal","1051","Leny Maria Corazza","Assistência Social","(61) 2020-4358","Arquivado","","","Federal","2272","Doação","25","Ministério do Desenvolvimento Agrário"
"59298","Fortalecimento das Capacidades Operacionais de Organizações da Sociedade Civil","DOAÇÃO-CENTRO COOP. SUECO","CCSueco","0.0","Distrito Federal","1051","Leny Maria Corazza","Assistência Social","(61) 2020-4358","Arquivado","","","Federal","2272","Doação","459","Ministério do Desenvolvimento Agrário"
"58630","Banco de teste para Desenvolvimento de Propulsores de Satelites","PROP. SATELITES","COFACE","6600000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Ciência e Tecnologia","","Arquivado","","","Federal","2272","Financiamento","0",""
"59777","Projeto Construção, Montagem e Comissionamento da Unidade 3 da Central Nuclear Almirante Álvaro Alberto","ANGRA  3","SOCIETÉ GENERALE","2.1E9","Distrito Federal","311","Humberto Leite Freitas Filho","Energia","(61) 2020-4837","Arquivado","","","Federal","2272","Financiamento","378","Eletrobras Termonuclear S/A - ELETRONUCLEAR"
"59663","Programa de Desenvolvimento de Submarinos - PROSUB","PROSUB","Consórcio de Bancos","5.568203646E9","Distrito Federal","1051","Humberto Leite Freitas Filho","Defesa Nacional","(61) 2020-4837","Em execução","02/12/2009 00:00","02/12/2025 00:00","Federal","2272","Financiamento","318","Comando da Marinha do Brasil"
"58203","Interligação Elétrica Boa Vista - VENEZUELA","BRASIL - VENEZUELA","CAF","5.5E7","Distrito Federal","311","Necy Yonamine","Energia","(61) 2020-4811","Finalizada","04/08/1998 00:00","04/08/2001 00:00","Federal","2272","Financiamento","311","Centrais Elétricas Brasileiras S/A - ELETROBRÁS"
"59599","Projeto ELETROBRÁS A/B Loan","DOAÇÃO PROJETO ELETROBRÁS","CAF","1.5E8","Distrito Federal","311","Rosangela Moreira Castelo Branco","Energia","(61) 2020-4809","Arquivado","","","Federal","2272","Financiamento","311","Centrais Elétricas Brasileiras S/A - ELETROBRÁS"
"57947","Gasoduto - Gás Natural Bolívia - Brasil","GASODUTO","CAF","8.0E7","Distrito Federal","473","Necy Yonamine","Energia","(61) 2020-4811","Finalizada","25/11/1998 00:00","15/12/2001 00:00","Federal","2272","Financiamento","473","Petróleo Brasileiro S/A"
"59187","Clean Tech Fund","Clean Tech","CAF","1000000.0","Distrito Federal","1051","Tânia Delfino Ribeiro","Gestão Ambiental","(61) 2020-4819","Finalizada","25/09/2006 00:00","10/09/2011 00:00","Federal","2272","Doação","377","Econergy International Corporation"
"58117","Pavimentação da BR 174 nos Estados do Amazonas e Roraima","BR-174 - CAF","CAF","8.6E7","Distrito Federal","1051","Ronald Ferreira de Melo","Transporte","(61) 2020-4814","Finalizada","11/04/1997 00:00","31/12/2001 00:00","Federal","2272","Financiamento","466","Ministério dos Transportes"
"59092","Programa de Desenvolvimento Fronteiriço BRASIL/PERU/BOLÍVIA","PROGRAMA FRONTEIRIÇO","CAF","2.13E8","Distrito Federal","1051","Antônio Sabino da Costa Filho","Transporte","","Arquivado","","","Federal","2272","Financiamento","466","Ministério dos Transportes"
"58317","Espanha - Plano de Desenvolvimento da Unicamp II","UNICAMP","ESPANHA","8000000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Educação","","Arquivado","","","Federal","2272","Financiamento","0",""
"58827","Projeto Edc-Canada/Equip. de Central de Comutação p/ Telefonia Móvel - Celular","CANADA - EDC","EDC","1.25E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Energia","","Arquivado","","","Federal","2272","Financiamento","0",""
"58426","MEC/MEDICOR II","MEDICOR II","Ex-Im BANK - EUA","6.0E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Educação","","Arquivado","","","Federal","2272","Financiamento","449","Ministério da Educação - MEC"
"59976","Informações Florestais Para uma Gestão Orientada à Conservação e Valorização dos Recursos Florestais do Cerrado pelos Setores Público e Privado","BR-T1277","FIP/BID","1.645E7","Distrito Federal","1051","Isis Smidt Lara Resende","","(61) 2020-4832","Em preparação","","","Federal","2272","Doação","807","Serviço Florestal Brasileiro"
"59149","Doação Programa Fundo de Desafios-Fundação Syngenta","DOAÇÃO SYNGENTA -FUNDO DE DESAFIOS","SYNGENTA","5000000.0","Distrito Federal","1051","Leny Maria Corazza","Gestão Ambiental","(61) 2020-4358","Finalizada","16/09/2005 00:00","31/12/2009 00:00","Federal","2272","Doação","602","Secretaria de Desenvolvimento e Territorial"
"59271","Programa Fundo de Desafios - Doação Adicional","DOAÇÃO SYNGENTA/ADICIONAL","SYNGENTA","752927.0","Distrito Federal","1051","Leny Maria Corazza","Agricultura","(61) 2020-4358","Finalizada","30/09/2010 00:00","30/09/2012 00:00","Federal","2272","Financiamento","607","Secretaria de Desenvolvimento Territorial do Ministério do Desenvolvimento Agrário"
"59673","Doação - Apoio à Elaboração do Plano Nacional de Saneamento Básico - PLANSAB","DOAÇÃO PLANSAB","BID","750000.0","Distrito Federal","1051","Wanda Dias Fonseca Taquary","Saneamento","(61) 2020-4847","Arquivado","","","Federal","2272","Doação","803","Secretaria Nacional de Saneamento Ambiental - SNSA"
"59668","Doação - Apoio à Implantação do Programa Nacional de Avaliação da Qualidade das Águas - PNQA","PNQA - DOAÇÃO","BID","800000.0","Distrito Federal","1051","Humberto Leite Freitas Filho","Gestão Ambiental","(61) 2020-4837","Finalizada","","","Federal","2272","Doação","292","Agência Nacional de Águas - ANA"
"58836","Projeto Importação de Equipamentos Científicos","PROJ. IMPORTAÇÃO","AGROINVEST","8200000.0","Distrito Federal","353","Antônio Sabino da Costa Filho","Ciência e Tecnologia","","Arquivado","","","Federal","2272","Financiamento","353","Conselho Nacional de Desenvolvimento Científico e Tecnológico - CNPQ"
"58851","Linha Dde Crédito para Aquisição de Tecn., Bens e Serv. p/ Mod. da Agropecuária","LINHA DE CRÉDITO","AGROINVEST","5.0E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Encargos Especiais","","Arquivado","","","Federal","2272","Financiamento","445","Ministério da Agricultura Pecuária e do Abastecimento"
"58865","Produção Intensiva Leitura","INTENSIVA LEITURA","AGROINVEST","600000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Educação","","Arquivado","","","Federal","2272","Financiamento","0",""
"58837","Projeto Equipamentos Médico-Hospitalares P/ Hospitais Universitários","EQUIP. HOSPITALARES","AGROINVEST","1.2E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Ciência e Tecnologia","","Arquivado","","","Federal","2272","Financiamento","449","Ministério da Educação - MEC"
"58848","Projeto Metrimpex/Importação Equipamentos Mec","PROJETO METRIMPEX","AGROINVEST","5.5E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Ciência e Tecnologia","","Arquivado","","","Federal","2272","Financiamento","449","Ministério da Educação - MEC"
"58863","Transferência de Tecnologia para Perímetros Irrigados","TECN. P/ PERÍMETROS","AGROINVEST","2400000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Agricultura","","Arquivado","","","Federal","2272","Financiamento","0",""
"59882","Fortalecimento da Capacidade Institucional da Procuradoria Especial da Mulher","","WB-IDF","305500.0","Distrito Federal","308","Marcus Cesar Ribeiro Barretto","Encargos Especiais","Tel. (61) 2020-4855","Em execução","10/09/2012 00:00","10/09/2015 00:00","Federal","2272","Doação","308","Câmara dos Deputados - CD"
"59375","Doação - Apostando na Juventude do Brasil","Doação Juventude","WB-IDF","351594.0","Distrito Federal","1051","Neuseli Ayres do Couto Castanheira","Direitos da Cidadania","(61) 2020-4818","Finalizada","10/11/2006 00:00","10/11/2010 00:00","Federal","2272","Doação","568","Presidência da República - PR"
"59195","Doação - Construção de Capacidade para Gerenciamento de Projetos de Investimento em Infra-estrutura","DOAÇÃO-PPI (STN)","WB-IDF","400000.0","Distrito Federal","1051","Patricia Matos Magalhaes Albuquerque","Administração","(61) 2020-4830","Finalizada","05/12/2005 00:00","05/12/2009 00:00","Federal","2272","Doação","730","Secretaria do Tesouro Nacional - Ministério da Fazenda"
"59508","Doação - Fortalecimento do Monitoramento e Avaliação na Esfera Federal de Governo","Doação Fortalecimeto Monitoramento","WB-IDF","287460.0","Distrito Federal","1051","Patricia Matos Magalhaes Albuquerque","Administração","(61) 2020-4830","Finalizada","26/03/2008 00:00","26/03/2011 00:00","Federal","2272","Doação","816","Tribunal de Contas da União - TCU"
"59016","Doação - Fortalecimento Institucional para o Monitoramento e Avaliação do Impacto do Desenvolvimento Social no Setor de Turismo no Brasil","DOAÇÃO TURISMO","WB-IDF","490000.0","Distrito Federal","1051","Rosangela Moreira Castelo Branco","Comércio e Serviços","(61) 2020-4809","Finalizada","04/03/2005 00:00","02/03/2009 00:00","Federal","2272","Doação","187","Ministério do Turismo"
"58984","Doação para o programa de Suporte para o Diálogo Nacional","DOAÇÃO CONCERTAÇÃO NAC.","WB-IDF","500000.0","Distrito Federal","1051","Patricia Matos Magalhaes Albuquerque","Administração","(61) 2020-4830","Finalizada","04/11/2003 00:00","04/11/2006 00:00","Federal","2272","Doação","606","Secretaria de Desenvolvimento Social do Estado do Paraná"
"57964","Estrut. e Real. do Encont.Inter.p/Avalia. - PROCEL","DOAÇÃO PROCEL","WB-IDF","300000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Energia","","Finalizada","","","Federal","2272","Financiamento","0",""
"58467","Estudos Sobre Impacto de Projetos de Infra-Estrutura Básica no RJ","DOAÇÃO INFRA-ESTR RJ","WB-IDF","305000.0","Distrito Federal","1051","Wanda Dias Fonseca Taquary","Urbanismo","(61) 2020-4847","Finalizada","","","Federal","2272","Doação","71","Governo do Estado do Rio de Janeiro"
"58076","Prog. de Trein. e Disseminação de Proc. Licitatórios","DOAÇÃO SEAIN","WB-IDF","198000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Administração","","Finalizada","22/04/1996 00:00","22/11/1998 00:00","Federal","2272","Doação","464","Ministério do Planejamento, Orçamento e Gestão"
"58080","Prog. Desenv. Capacid. e Acomp e Avaliação de Desempenho Proj","DOAÇÃO DESEMPENHO","WB-IDF","200000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Administração","","Arquivado","","","Federal","2272","Doação","464","Ministério do Planejamento, Orçamento e Gestão"
"58501","Programa de Treinamento e Disseminação de Procedimentos Licitatórios - FASE II","DOAÇÃO SEAIN - II","WB-IDF","268000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Administração","","Arquivado","","","Federal","2272","Doação","464","Ministério do Planejamento, Orçamento e Gestão"
"58689","Programa Museu Nacional da Universidade do Rio de Janeiro","DOAÇÃO UFRJ/MN","WB-IDF","401000.0","Distrito Federal","1051","Neuseli Ayres do Couto Castanheira","Saneamento","(61) 2020-4818","Arquivado","","","Federal","2272","Doação","830","Universidade Federal do Rio de Janeiro - UFRJ"
"59116","Programa Nacional de Primeiro Emprego - PNPE","PRIMEIRO EMPREGO","WB-IDF","1.0E7","Distrito Federal","1051","Cadmo Soares Gomes","Assistência Social","","Arquivado","","","Federal","2272","Financiamento","465","Ministério do Trabalho e Emprego"
"58696","Proj de Melhoria da Identif. e Regulariz. de Terras das com. Quilombolas Brasil.","DOAÇÃO QUILOMBO","WB-IDF","350000.0","Distrito Federal","1051","Neuseli Ayres do Couto Castanheira","Cultura","(61) 2020-4818","Finalizada","19/09/2001 00:00","18/09/2004 00:00","Federal","2272","Doação","447","Ministério da Cultura - MC"
"58141","Projeto de Suporte a Gestão Financeira dos Estados","DOAÇÃO STN","WB-IDF","500000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Administração","","Finalizada","02/09/1996 00:00","18/06/1999 00:00","Federal","2272","Doação","730","Secretaria do Tesouro Nacional - Ministério da Fazenda"
"58500","Projeto Integrado Recursos Hídricos Bacia Rio S. Francisco - I","BACIA S. FRANCISCO I","WB-IDF","25000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Gestão Ambiental","","Finalizada","25/03/1997 00:00","31/03/1999 00:00","Federal","2272","Doação","142","Ministério do Meio Ambiente - MMA"
"57963","Regulação do Setor de Energia Elétrica","DOAÇÃO SETOR ELETR.","WB-IDF","400000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Energia","","Arquivado","","","Federal","2272","Financiamento","0",""
"58015","Sist.de Inf.Para o Gerenc. de Política Social do Prog. Comunidade Solidária - IPEA","DOAÇÃO COM.SOLIDÁRIA","WB-IDF","500000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Assistência Social","","Finalizada","08/07/1996 00:00","18/07/1998 00:00","Federal","2272","Doação","427","Instituto de Pesquisa Econômica Aplicada - IPEA"
"58198","Treinamento Disseminação de Procedimentos para Desembolso e Auditorias","DOAÇÃO DESEMBOLSO","WB-IDF","316000.0","Distrito Federal","1051","Antônio Sabino da Costa Filho","Administração","","Finalizada","05/10/1998 00:00","12/06/2001 00:00","Federal","2272","Doação","464","Ministério do Planejamento, Orçamento e Gestão"
"59699","Projeto Dom Helder Câmara","Projeto Dom Helder II","FIDA/FEFSA","1.5000005E7","Distrito Federal","1051","Leny Maria Corazza","Agricultura","(61) 2020-4358","Em execução","22/08/2014 00:00","30/09/2020 00:00","Federal","2272","Financiamento","607","Secretaria de Desenvolvimento Territorial do Ministério do Desenvolvimento Agrário"
"59675","Programa de Acesso ao Aumento dos Serviços de Conectividade à Maioria nas Comunidades Pobres no Nordeste do Brasil","Comunidades Pobres NE-Conectividade","BID-IID","1.1E8","Distrito Federal","1051","Manuella Damasceno Louzada","Comunicações","","Arquivado","","","Federal","2272","Doação","0",""
"57950","Programa de Desenvolvimento Tecnológico","FINEP/FONPLATA","FONPLATA","1.0E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Ciência e Tecnologia","","Arquivado","","","Federal","2272","Financiamento","392","Financiadora de Estudos e Projetos - FINEP"
"57904","Projeto Sorriso","PROJETO SORRISO","FONPLATA","2.0E7","Distrito Federal","1051","Antônio Sabino da Costa Filho","Direitos da Cidadania","","Arquivado","","","Federal","2272","Financiamento","0",""
"58659","Rede Abde/Sebrae de Informações para o Desenvolvimento - Rade","DOAÇÃO RADE","FONPLATA","12000.0","Distrito Federal","1051","Humberto Leite Freitas Filho","Comunicações","(61) 2020-4837","Finalizada","","","Federal","2272","Financiamento","0",""
"58164","SIGA-ME/BIOMASSAS - Gaseificação de Madeira/Geração de Energia","BIOMASSAS","GEF","3.68E7","Distrito Federal","311","Isis Smidt Lara Resende","Energia","(61) 2020-4832","Arquivado","","","Federal","2272","Financiamento","311","Centrais Elétricas Brasileiras S/A - ELETROBRÁS"
"58434","Nova Opção de Energ.Limpa p/Brasil-Geraç.Termo-Solar de Eletr.Recep.Centrais","ENERGIA TERMO-SOLAR","GEF","8880000.0","Distrito Federal","314","Antônio Sabino da Costa Filho","Gestão Ambiental","","Finalizada","01/04/2001 00:00","30/09/2002 00:00","Federal","2272","Doação","314","Centro de Pesquisa de Energia Elétrica - CEPEL"
"59582","Ampliando Esquemas de Certificação para abranger Serviços Ecossistêmicos","Certificação p/ Serv Ecossistêmicos","GEF","3300000.0","Distrito Federal","352","Tânia Delfino Ribeiro","Gestão Ambiental","(61) 2020-4819","Arquivado","","","Federal","2272","Doação","352","Conselho Brasileiro de Manejo Florestal - FSC/Brasil"
"59404","Connecting Forests to the Market: Promoting Sustainable Use of  Forest Products","DOAÇÃO FOREST PRODUCTS","GEF","0.0","Distrito Federal","352","Isis Smidt Lara Resende","Gestão Ambiental","(61) 2020-4832","Arquivado","","","Federal","2272","Doação","352","Conselho Brasileiro de Manejo Florestal - FSC/Brasil"
"58300","Programa de Pesquisa Sobre Ecologia e Antropologia no Estuário Amazônico","ESTUARINO  AMAZÔNICO","GEF","0.0","Distrito Federal","353","Antônio Sabino da Costa Filho","Gestão Ambiental","","Arquivado","","","Federal","2272","Financiamento","353","Conselho Nacional de Desenvolvimento Científico e Tecnológico - CNPQ"
"58302","Estratégia Conservação Recursos Genéticos Amazônia Brasileira","RECURSOS GENETICOS","GEF","1.06E7","Distrito Federal","380","Antônio Sabino da Costa Filho","Gestão Ambiental","","Arquivado","","","Federal","2272","Doação","380","Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA"
"59160","LATIN AMERICA: Multi-Country Capacity Building for Compliance with the Cartagena Protocol on Biosafety","LAC BIOSAFETY","GEF","5260000.0","Distrito Federal","380","Isis Smidt Lara Resende","Gestão Ambiental","(61) 2020-4832","Finalizada","","","Federal","2272","Doação","440","International Center For Tropical Agriculture"
"59907","Projeto Integrando Conservação e Uso Sustentável da Biodiversidade em Práticas de PFNMs e SAFs em Paisagens Florestais de Múltiplos Usos de Alto Valor para a Conservação","DOAÇÃO GEF - EMBRAPA","GEF","6000000.0","Distrito Federal","380","Isis Smidt Lara Resende","Gestão Ambiental","(61) 2020-4832","Em preparação","","","Federal","2272","Doação","380","Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA"
"58505","Establishment of a Global Repres. System of Marine Protected Areas","MARINE AREAS","GEF","347000.0","Distrito Federal","425","Antônio Sabino da Costa Filho","Gestão Ambiental","","Arquivado","","","Federal","2272","Doação","0",""
"59412","Hacia pesquerias sostenibles - reduciendo la pesca indidental de aves marinas amenazadas em las pesquerías de palangre em el Mar del Sur (PDF-B)","AVES MARINHAS E PESCA","GEF","700000.0","Distrito Federal","425","Isis Smidt Lara Resende","Gestão Ambiental","(61) 2020-4832","Arquivado","","","Federal","2272","Doação","735","Secretaria Especial de Aqüicultura e Pesca - SEAP/PR"
"59393","Projeto Biomass densification energy alternative for the preservation on the northeast caatinga forest (Concept Paper)","DOAÇÃO PROJETO BIOMAS","GEF","0.0","Distrito Federal","425","Isis Smidt Lara Resende","Gestão Ambiental","(61) 2020-4832","Arquivado","","","Federal","2272","Doação","425","Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA"
